     TIME      BNDY    WATER      WATER      WATER       HEAT       HEAT       HEAT
               FACE     FLUX       FLUX       FLUX       FLUX       FLUX       FLUX
                       TOTAL      TIME STEP   RATE      TOTAL      TIME STEP   RATE
  3.634287E-01     1  0.000E+00  0.000E+00  0.000E+00 -4.554E+05 -1.373E+04 -1.938E+06
  3.719343E-01     4 -7.405E-01 -1.483E-02 -1.743E+00 -2.920E+07 -6.070E+05 -7.136E+07
  3.719343E-01     1  0.000E+00  0.000E+00  0.000E+00 -4.720E+05 -1.655E+04 -1.946E+06
  3.821411E-01     4 -7.575E-01 -1.704E-02 -1.669E+00 -2.991E+07 -7.014E+05 -6.872E+07
  3.821411E-01     1  0.000E+00  0.000E+00  0.000E+00 -4.919E+05 -1.994E+04 -1.953E+06
  3.943892E-01     4 -7.769E-01 -1.940E-02 -1.584E+00 -3.071E+07 -8.038E+05 -6.563E+07
  3.943892E-01     1  0.000E+00  0.000E+00  0.000E+00 -5.159E+05 -2.400E+04 -1.959E+06
  4.090869E-01     4 -8.025E-01 -2.556E-02 -1.739E+00 -3.170E+07 -9.949E+05 -6.769E+07
  4.090869E-01     1  0.000E+00  0.000E+00  0.000E+00 -5.430E+05 -2.709E+04 -1.843E+06
  4.267241E-01     4 -8.302E-01 -2.777E-02 -1.575E+00 -3.291E+07 -1.210E+06 -6.860E+07
  4.267241E-01     1  0.000E+00  0.000E+00  0.000E+00 -5.724E+05 -2.945E+04 -1.670E+06
  4.478888E-01     4 -8.603E-01 -3.007E-02 -1.421E+00 -3.424E+07 -1.330E+06 -6.283E+07
  4.478888E-01     1  0.000E+00  0.000E+00  0.000E+00 -6.057E+05 -3.323E+04 -1.570E+06
  4.732865E-01     4 -8.925E-01 -3.221E-02 -1.268E+00 -3.569E+07 -1.444E+06 -5.685E+07
  4.732865E-01     1  0.000E+00  0.000E+00  0.000E+00 -6.433E+05 -3.766E+04 -1.483E+06
  5.000000E-01     4 -9.228E-01 -3.024E-02 -1.132E+00 -3.705E+07 -1.365E+06 -5.110E+07
  5.000000E-01     1  0.000E+00  0.000E+00  0.000E+00 -6.806E+05 -3.727E+04 -1.395E+06
  5.320562E-01     4 -9.546E-01 -3.187E-02 -9.941E-01 -3.851E+07 -1.460E+06 -4.554E+07
  5.320562E-01     1  0.000E+00  0.000E+00  0.000E+00 -7.224E+05 -4.176E+04 -1.303E+06
  5.705236E-01     4 -9.876E-01 -3.295E-02 -8.565E-01 -4.005E+07 -1.534E+06 -3.987E+07
  5.705236E-01     1  0.000E+00  0.000E+00  0.000E+00 -7.685E+05 -4.614E+04 -1.200E+06
  6.166846E-01     4 -1.021E+00 -3.338E-02 -7.231E-01 -4.163E+07 -1.579E+06 -3.421E+07
  6.166846E-01     1  0.000E+00  0.000E+00  0.000E+00 -8.187E+05 -5.021E+04 -1.088E+06
  6.720777E-01     4 -1.054E+00 -3.310E-02 -5.976E-01 -4.322E+07 -1.592E+06 -2.874E+07
  6.720777E-01     1  0.000E+00  0.000E+00  0.000E+00 -8.725E+05 -5.378E+04 -9.708E+05
  7.385494E-01     4 -1.086E+00 -3.210E-02 -4.829E-01 -4.479E+07 -1.569E+06 -2.360E+07
  7.385494E-01     1  0.000E+00  0.000E+00  0.000E+00 -9.292E+05 -5.673E+04 -8.534E+05
  8.183155E-01     4 -1.117E+00 -3.043E-02 -3.815E-01 -4.630E+07 -1.511E+06 -1.894E+07
  8.183155E-01     1  0.000E+00  0.000E+00  0.000E+00 -9.883E+05 -5.905E+04 -7.403E+05
  9.140348E-01     4 -1.145E+00 -2.822E-02 -2.949E-01 -4.772E+07 -1.422E+06 -1.486E+07
  9.140348E-01     1  0.000E+00  0.000E+00  0.000E+00 -1.049E+06 -6.085E+04 -6.357E+05
